element;period;position
agent-0;1;2
agent-1;1;1
agent-2;1;5
agent-3;1;4
agent-4;1;3
agent-0;2;1
agent-1;2;4
agent-2;2;2
agent-3;2;3
agent-4;2;5
agent-0;3;1
agent-1;3;3
agent-2;3;4
agent-3;3;5
agent-4;3;2
agent-0;4;1
agent-1;4;5
agent-2;4;4
agent-3;4;3
agent-4;4;2
agent-0;5;1
agent-1;5;4
agent-2;5;2
agent-3;5;3
agent-4;5;5
agent-0;6;1
agent-1;6;5
agent-2;6;3
agent-3;6;2
agent-4;6;4
agent-0;7;1
agent-1;7;4
agent-2;7;5
agent-3;7;2
agent-4;7;3
agent-0;8;1
agent-1;8;4
agent-2;8;5
agent-3;8;2
agent-4;8;3
agent-0;9;1
agent-1;9;3
agent-2;9;2
agent-3;9;5
agent-4;9;4
agent-0;10;1
agent-1;10;3
agent-2;10;4
agent-3;10;2
agent-4;10;5
agent-0;11;1
agent-1;11;4
agent-2;11;3
agent-3;11;2
agent-4;11;5
agent-0;12;1
agent-1;12;4
agent-2;12;3
agent-3;12;2
agent-4;12;5
agent-0;13;1
agent-1;13;4
agent-2;13;5
agent-3;13;2
agent-4;13;3
agent-0;14;1
agent-1;14;4
agent-2;14;3
agent-3;14;2
agent-4;14;5
agent-0;15;1
agent-1;15;5
agent-2;15;3
agent-3;15;2
agent-4;15;4
agent-0;16;1
agent-1;16;4
agent-2;16;3
agent-3;16;2
agent-4;16;5
agent-0;17;1
agent-1;17;4
agent-2;17;3
agent-3;17;2
agent-4;17;5
agent-0;18;1
agent-1;18;4
agent-2;18;3
agent-3;18;2
agent-4;18;5
agent-0;19;1
agent-1;19;4
agent-2;19;3
agent-3;19;2
agent-4;19;5
agent-0;20;1
agent-1;20;4
agent-2;20;3
agent-3;20;2
agent-4;20;5
agent-0;21;1
agent-1;21;5
agent-2;21;3
agent-3;21;2
agent-4;21;4
agent-0;22;1
agent-1;22;5
agent-2;22;3
agent-3;22;2
agent-4;22;4
agent-0;23;1
agent-1;23;5
agent-2;23;3
agent-3;23;2
agent-4;23;4
agent-0;24;1
agent-1;24;4
agent-2;24;3
agent-3;24;2
agent-4;24;5
agent-0;25;1
agent-1;25;4
agent-2;25;2
agent-3;25;3
agent-4;25;5
agent-0;26;1
agent-1;26;5
agent-2;26;3
agent-3;26;2
agent-4;26;4
agent-0;27;1
agent-1;27;5
agent-2;27;4
agent-3;27;2
agent-4;27;3
agent-0;28;1
agent-1;28;5
agent-2;28;3
agent-3;28;2
agent-4;28;4
agent-0;29;1
agent-1;29;5
agent-2;29;3
agent-3;29;2
agent-4;29;4
agent-0;30;1
agent-1;30;5
agent-2;30;3
agent-3;30;2
agent-4;30;4
agent-0;31;1
agent-1;31;5
agent-2;31;2
agent-3;31;3
agent-4;31;4
agent-0;32;1
agent-1;32;5
agent-2;32;4
agent-3;32;2
agent-4;32;3
agent-0;33;1
agent-1;33;5
agent-2;33;3
agent-3;33;2
agent-4;33;4
agent-0;34;1
agent-1;34;5
agent-2;34;3
agent-3;34;2
agent-4;34;4
agent-0;35;1
agent-1;35;5
agent-2;35;3
agent-3;35;2
agent-4;35;4
agent-0;36;1
agent-1;36;5
agent-2;36;3
agent-3;36;2
agent-4;36;4
agent-0;37;1
agent-1;37;5
agent-2;37;2
agent-3;37;3
agent-4;37;4
agent-0;38;1
agent-1;38;5
agent-2;38;3
agent-3;38;2
agent-4;38;4
agent-0;39;1
agent-1;39;5
agent-2;39;3
agent-3;39;2
agent-4;39;4
agent-0;40;1
agent-1;40;4
agent-2;40;3
agent-3;40;2
agent-4;40;5
agent-0;41;1
agent-1;41;4
agent-2;41;3
agent-3;41;2
agent-4;41;5
agent-0;42;1
agent-1;42;4
agent-2;42;3
agent-3;42;2
agent-4;42;5
agent-0;43;1
agent-1;43;5
agent-2;43;3
agent-3;43;2
agent-4;43;4
agent-0;44;1
agent-1;44;5
agent-2;44;3
agent-3;44;2
agent-4;44;4
agent-0;45;1
agent-1;45;5
agent-2;45;3
agent-3;45;2
agent-4;45;4
agent-0;46;1
agent-1;46;5
agent-2;46;2
agent-3;46;3
agent-4;46;4
agent-0;47;1
agent-1;47;5
agent-2;47;2
agent-3;47;3
agent-4;47;4
agent-0;48;1
agent-1;48;5
agent-2;48;3
agent-3;48;2
agent-4;48;4
agent-0;49;1
agent-1;49;4
agent-2;49;3
agent-3;49;2
agent-4;49;5
